scenario_id,scenario_name,timestamp_utc,timestamp_ist,outdoor_C,free_indoor_mean_C,free_indoor_min_C,free_indoor_max_C,ideal_indoor_mean_C,ideal_heating_avg_kW,ideal_heating_energy_kWh,window_solar_gain_avg_kW
baseline,Baseline Shelter,2025-01-15T00:00:00+00:00,2025-01-15T05:30:00+05:30,-30.81,-27.41863716330177,-27.87462810792417,-26.872856502429965,20.0,6.311632551377307,6.311632551377307,0.0
baseline,Baseline Shelter,2025-01-15T01:00:00+00:00,2025-01-15T06:30:00+05:30,-31.99,-28.742587876564574,-29.16915339869082,-28.233353810735945,20.0,6.485014500610174,6.485014500610173,0.0
baseline,Baseline Shelter,2025-01-15T02:00:00+00:00,2025-01-15T07:30:00+05:30,-32.22,-25.712770928526506,-26.794811935992993,-25.249871707857277,20.0,5.782149521245136,5.7821495212451355,0.7109955117516493
baseline,Baseline Shelter,2025-01-15T03:00:00+00:00,2025-01-15T08:30:00+05:30,-29.35,-20.445789577419305,-22.284748206824727,-19.407364862241955,20.0,4.847752110477647,4.847752110477647,1.2532512261260376
baseline,Baseline Shelter,2025-01-15T04:00:00+00:00,2025-01-15T09:30:00+05:30,-24.34,-16.105491871383055,-17.606877836881637,-15.137736642377211,20.0,4.249788629194913,4.249788629194913,1.1725451285838422
baseline,Baseline Shelter,2025-01-15T05:00:00+00:00,2025-01-15T10:30:00+05:30,-20.29,-12.602384673182973,-13.71985100139163,-11.956315074404532,20.0,3.8235306742476247,3.8235306742476247,0.9368546846541964
baseline,Baseline Shelter,2025-01-15T06:00:00+00:00,2025-01-15T11:30:00+05:30,-15.8,-10.161920753350387,-10.933567524637237,-9.769315026325115,20.0,3.5710704319763167,3.5710704319763167,0.549442181086134
baseline,Baseline Shelter,2025-01-15T07:00:00+00:00,2025-01-15T12:30:00+05:30,-11.77,-7.287966234561193,-8.870099640442302,-5.860733835373297,20.0,3.1609301399239396,3.1609301399239396,0.395089882785709
baseline,Baseline Shelter,2025-01-15T08:00:00+00:00,2025-01-15T13:30:00+05:30,-10.09,-4.011798818608726,-5.187265647582035,-2.9626956616941587,20.0,2.743688674409428,2.7436886744094284,0.46262495488917194
baseline,Baseline Shelter,2025-01-15T09:00:00+00:00,2025-01-15T14:30:00+05:30,-9.71,-2.4043432970351115,-2.8998948633926678,-1.9118794996580772,20.0,2.6435853389884905,2.6435853389884905,0.44008348982253276
baseline,Baseline Shelter,2025-01-15T10:00:00+00:00,2025-01-15T15:30:00+05:30,-10.22,-2.1616117734714986,-2.235323401303881,-2.066434227434701,20.0,2.7315065035567145,2.731506503556714,0.39256884209596726
baseline,Baseline Shelter,2025-01-15T11:00:00+00:00,2025-01-15T16:30:00+05:30,-12.16,-4.436359482156933,-5.213660681337416,-3.369453385605303,20.0,3.2428954838311803,3.2428954838311803,0.17540927073298768
baseline,Baseline Shelter,2025-01-15T12:00:00+00:00,2025-01-15T17:30:00+05:30,-14.43,-7.984246723676159,-9.090362524458207,-6.569739981745442,20.0,3.8487233084234918,3.8487233084234918,0.0
baseline,Baseline Shelter,2025-01-15T13:00:00+00:00,2025-01-15T18:30:00+05:30,-15.95,-10.664251222671558,-11.488935918097724,-9.70288551751898,20.0,4.187814308641595,4.187814308641595,0.0
baseline,Baseline Shelter,2025-01-15T14:00:00+00:00,2025-01-15T19:30:00+05:30,-16.99,-12.673121928168356,-13.302769815029325,-11.942306278007607,20.0,4.414483305186231,4.414483305186231,0.0
baseline,Baseline Shelter,2025-01-15T15:00:00+00:00,2025-01-15T20:30:00+05:30,-17.83,-14.22465402672514,-14.712604112836134,-13.657386091592443,20.0,4.5770481994586145,4.5770481994586145,0.0
